GEO_CODE (POR),GEO_LEVEL,GEO_NAME,Population Count,Median Age,Population Density (pop/km2),Mean Weeks Worked,After Tax Measure Low Income Prevalence (%),After Tax Cut-Off Low Income Prevalence (%),Total Youth (0-25),Total Adult (26+),Total Adult Males,Total Adult Females
4806001,3,"Foothills No. 31, MD",22765,46.8,6.3,42.6,6.1,6.1,6510,16265,8195,8065
4806006,3,"High River, T",13585,42.6,635.1,42.4,8.7,8.7,3945,9640,4685,4945
4806008,3,"Longview, VL",310,51.6,278.3,44.2,9.8,9.8,70,240,125,125
4806009,3,"Turner Valley, T",2555,41.5,442.1,43,8.9,8.9,710,1850,915,925
4806011,3,"Black Diamond, T",2700,46,702.7,42.6,10.3,10.3,675,2020,975,1045
4806012,3,"Okotoks, T",28880,36.3,1471,42.6,5.9,5.9,10555,18315,8830,9480
4806014,3,"Rocky View County, MD",39410,43.6,10.3,41.6,5.6,5.6,12710,26700,13420,13285
4806016,3,"Calgary, CY",1239220,36.7,1501.1,42.5,9.3,9.3,375345,863870,426120,437745
4806017,3,"Chestermere, CY",19885,35.3,603.8,43.1,5.9,5.9,7135,12750,6260,6500
4806019,3,"Cochrane, T",25850,36.9,866.7,42.8,5.7,5.7,8160,17685,8580,9110
4806021,3,"Airdrie, CY",61585,33.3,728.2,43.8,5.4,5.4,22020,39565,19525,20035
4806022,3,"Irricana, T",1215,39.6,376.1,44.7,7,7,355,855,435,415
4806024,3,"Beiseker, VL",820,42,287.1,43.3,10.4,10.4,250,565,275,275
4806026,3,"Crossfield, T",2985,38.6,249.3,42.3,7,7,960,2020,1015,1005
4806028,3,"Mountain View County, MD",13070,45.2,3.5,42.7,11.2,11.2,3730,9345,4800,4550
4806029,3,"Carstairs, T",4080,38.1,342.1,42.8,7,7,1300,2770,1385,1390
4806031,3,"Cremona, VL",440,39.5,228.6,39,18.4,18.4,145,300,155,145
4806032,3,"Didsbury, T",5270,43.1,321.7,42.4,11.1,11.1,1555,3730,1775,1935
4806034,3,"Olds, T",9180,41.6,615.3,41.7,9.4,9.4,2650,6535,3070,3465
4806036,3,"Sundre, T",2730,44.9,245.6,41.4,10.9,10.9,755,1970,910,1065
4806803,3,"Eden Valley 216, IRI",600,22.2,33.8,34,0,0,335,260,130,125
4806804,3,"Tsuu T'ina Nation 145 (Sarcee 145), IRI",1645,33.8,5.8,41.9,0,0,685,955,480,495
4807001,3,"Provost No. 52, MD",2205,42.6,0.6,45.2,8,8,720,1490,795,680
4807002,3,"Provost, T",2000,37.4,423,43.2,5.8,5.8,675,1330,630,690
4807004,3,"Czar, VL",200,41,180.1,40.2,x,x,55,135,70,70
4807006,3,"Hughenden, VL",245,35.4,309.9,41.4,x,x,80,160,80,75
4807008,3,"Amisk, VL",205,37,268.3,40,x,x,70,135,80,55
4807011,3,"Paintearth County No. 18, MD",2105,40.1,0.6,43.6,9.5,9.5,740,1360,685,670
4807012,3,"Coronation, T",940,44,259.9,39.8,14,14,265,675,325,355
4807014,3,"Castor, T",930,54.3,352.6,43.2,11.7,11.7,210,715,325,400
